ID_MUNICIP,year,Population,dengue,zika,chikungunya,microcephaly,live_births
260430,2017,11673.752839869632,1,0,1,0,141
260440,2013,12925.96207404488,0,0,0,0,223
260440,2014,13007.630954030239,0,0,0,0,216
260440,2015,13095.928660259444,36,0,18,1,233
260440,2016,13158.580046754167,0,0,1,1,212
260440,2017,13220.612120464139,0,0,0,0,225
260450,2013,20918.479297900267,27,0,0,0,292
260450,2014,21024.509718220277,3,0,0,0,326
260450,2015,21137.022134799394,284,0,0,1,337
260450,2016,21227.45359402951,58,0,0,0,285
260450,2017,21312.42871209264,13,0,0,0,300
260460,2013,25356.82438223857,2,0,0,0,376
260460,2014,25520.36119353263,8,0,0,0,374
260460,2015,25690.702496778904,509,0,0,2,438
260460,2016,25846.37218226192,160,0,2,1,385
260460,2017,25994.10515214894,0,0,0,0,340
260470,2013,17854.329343188314,19,0,0,0,224
260470,2014,17859.108611085605,5,0,0,0,216
260470,2015,17868.97200213551,62,0,0,0,270
260470,2016,17865.908058460747,0,0,0,0,220
260470,2017,17858.047039805166,0,0,0,0,245
260480,2013,12650.217381997696,0,0,0,0,220
260480,2014,12620.048252128745,0,0,0,0,217
260480,2015,12595.94563184569,18,0,0,2,239
260480,2016,12548.902278755075,0,0,18,0,196
260480,2017,12501.113658117054,0,0,0,0,193
260490,2013,15491.782477628527,4,0,0,0,209
260490,2014,14869.492031747262,4,0,0,0,197
260490,2015,14280.530563776021,114,0,1,0,184
260490,2016,13689.383981104731,6,0,14,1,143
260490,2017,13126.077469720643,8,0,0,0,153
260500,2013,24045.772546535627,1,0,0,0,344
260500,2014,24082.877826400785,0,0,0,0,395
260500,2015,24124.944446214868,17,0,0,1,393
260500,2016,24159.624961536316,9,0,34,2,354
260500,2017,24186.6011321446,2,0,0,0,383
260510,2013,35529.03666081321,3,0,0,0,616
260510,2014,35814.85706086851,27,0,0,0,533
260510,2015,36106.06986758507,103,0,0,1,575
260510,2016,36388.79643608467,0,0,0,0,468
260510,2017,36660.56576185243,0,0,1,0,517
260515,2013,17926.937525327397,0,0,0,0,285
260515,2014,18124.30738848479,43,0,0,0,243
260515,2015,18327.199029527867,94,0,0,0,250
260515,2016,18520.118362933154,0,0,0,1,223
260515,2017,18707.71966473526,0,0,1,0,247
260520,2013,66258.01010645155,31,0,0,0,1548
260520,2014,66658.12870150767,0,0,0,1,1578
260520,2015,67069.83388372355,124,0,0,3,1147
260520,2016,67436.65699141417,3,0,1,2,1015
260520,2017,67781.71379354401,2,0,0,0,981
260530,2013,31908.970002252638,0,0,0,0,521
260530,2014,31739.569877656984,17,0,0,0,506
260530,2015,31581.062832008676,10,0,1,7,504
260530,2016,31398.331541266365,63,2,134,4,434
260530,2017,31209.770867938536,3,0,1,0,467
260540,2013,21277.844173309983,0,0,0,0,288
260540,2014,21352.37606725862,5,0,0,0,297
260540,2015,21432.57059833176,0,0,0,1,341
260540,2016,21497.700279233046,0,0,1,0,304
260540,2017,21557.744999806266,7,0,0,0,335
260550,2013,11764.845733506518,0,0,0,0,151
260550,2014,11790.417046270835,0,0,0,0,118
260550,2015,11820.607812319131,5,0,1,1,147
260550,2016,11834.347880462043,5,0,61,1,163
260550,2017,11846.940957294186,0,0,0,0,147
260560,2013,22741.272598447988,0,0,0,0,264
260560,2014,22757.91491251306,0,0,0,0,262
260560,2015,22781.184540584683,83,0,0,3,275
260560,2016,22793.943479069763,5,0,0,0,227
260560,2017,22803.492311389862,0,0,0,0,262
260570,2013,31325.17743761817,1,0,0,0,480
260570,2014,31757.83393933386,17,0,0,0,461
260570,2015,32203.073078888156,50,0,1,3,471
260570,2016,32632.050228607673,13,0,403,4,430
260570,2017,33051.87043446694,1,0,0,1,456
260580,2013,14773.103738961272,3,0,0,0,143
260580,2014,14829.244455348495,18,0,0,0,142
260580,2015,14887.569823240088,1,0,0,1,143
260580,2016,14946.487545872391,0,0,2,0,133
260580,2017,15001.970896017348,9,0,0,0,140
260590,2013,29532.989653633045,4,0,0,0,420
260590,2014,29855.97628307032,1,0,0,0,373
260590,2015,30194.406587045218,2,0,0,2,401
260590,2016,30488.99573763804,1,0,0,0,362
260590,2017,30779.9632242429,0,0,0,0,357
260600,2013,134970.564983875,44,0,0,0,2355
260600,2014,135741.70753425613,48,0,0,0,2360
260600,2015,136519.12065215863,1205,0,31,0,2489
260600,2016,137251.53432461567,2855,1,984,6,2179
260600,2017,137923.8731755158,322,0,9,0,2248
260610,2013,29838.958610706562,9,0,0,0,394
260610,2014,29881.28424973781,3,0,0,0,381
260610,2015,29930.4494493308,12,0,0,2,424
260610,2016,29962.561617019575,0,0,0,0,356
260610,2017,29986.84552603349,0,0,0,0,444
260620,2013,77870.70736783855,11,0,0,0,1237
260620,2014,77992.3961632007,5,0,0,0,1308
260620,2015,78122.0749461569,314,0,31,12,1263
260620,2016,78201.00629886833,750,0,2377,3,1151
260620,2017,78254.53264614308,92,0,100,0,1183
260630,2013,7111.103241177943,0,0,0,0,92
260630,2014,7149.918947796168,1,0,0,0,116
260630,2015,7195.514187838942,1,0,0,1,103
260630,2016,7218.3336962860585,11,0,14,0,109
260630,2017,7243.2992398401275,0,0,0,1,95
260640,2013,80219.22528474219,60,0,0,0,1133
260640,2014,80868.32643840465,566,0,0,0,1266
260640,2015,81524.92515053159,141,0,1,2,1159
260640,2016,82177.63970764213,693,0,650,3,1060
260640,2017,82801.0273050449,76,0,1,0,1046
260650,2013,18859.22591580819,0,0,0,0,303
